"","Invsimpson","Site"
"C1A17",24.9871214956651,"Chanaral"
"C1F18",70.144391080339,"Chanaral"
"C1A18",41.30465118445,"Chanaral"
"C2A17",5.4463903960099,"Chanaral"
"C2F18",63.8979610790605,"Chanaral"
"C2A18",38.6297508907288,"Chanaral"
"C3A17",7.77757543282261,"Chanaral"
"C3F18",43.8169808773216,"Chanaral"
"C3A18",125.240451403709,"Chanaral"
"C4A17",8.67134995128608,"Chanaral"
"C4F18",66.6623653605878,"Chanaral"
"C4A18",109.296760378143,"Chanaral"
"F1A17",82.2383512060298,"Flamenco"
"F1F18",20.367672429545,"Flamenco"
"F1A18",19.7224949654912,"Flamenco"
"F2A17",24.1947100051972,"Flamenco"
"F2F18",42.8850175108285,"Flamenco"
"F2A18",21.7927656032877,"Flamenco"
"F3A17",13.0813204534381,"Flamenco"
"F3F18",205.332584069946,"Flamenco"
"F3A18",18.6451715478581,"Flamenco"
"F4A17",10.8978876083844,"Flamenco"
"F4F18",186.724497052767,"Flamenco"
"F4A18",26.6295104761306,"Flamenco"
"H1A17",23.032499605889,"Huasco"
"H1F18",12.4119748127497,"Huasco"
"H1A18",21.7843063686735,"Huasco"
"H2A17",17.1256102425159,"Huasco"
"H2F18",16.4417359041801,"Huasco"
"H2A18",22.3647088377276,"Huasco"
"H3A17",20.0726760656032,"Huasco"
"H3F18",13.2020002929119,"Huasco"
"H3A18",20.995579428736,"Huasco"
"H4A17",24.2389844769097,"Huasco"
"H4F18",12.4613160983546,"Huasco"
"H4A18",24.282579429703,"Huasco"
"P1F18",34.4207582305859,"Pta_Choros"
"P1A18",66.5804377866213,"Pta_Choros"
"P2F18",43.4820774296128,"Pta_Choros"
"P3F18",38.475507652653,"Pta_Choros"
"P4F18",43.4155381888037,"Pta_Choros"
"Q1A17",21.5861096259014,"Quintero"
"Q1F18",11.4755300819502,"Quintero"
"Q2A17",151.004643893114,"Quintero"
"Q2F18",7.84158792524004,"Quintero"
"Q3A17",151.287430063777,"Quintero"
"Q3F18",9.81776712324253,"Quintero"
"Q3A18",88.3900822545362,"Quintero"
"Q4A17",118.332496530585,"Quintero"
"Q4F18",6.72889561570531,"Quintero"
"Q4A18",33.4338115702545,"Quintero"
"L1A17",22.6582192137707,"Las_Cruces"
"L1F18",38.4924793861636,"Las_Cruces"
"L1A18",42.8814526956885,"Las_Cruces"
"L2A17",50.2962838589597,"Las_Cruces"
"L2F18",53.4531769139546,"Las_Cruces"
"L2A18",34.9684670252747,"Las_Cruces"
"L3A17",40.4139734956781,"Las_Cruces"
"L3F18",34.4365002568132,"Las_Cruces"
"L3A18",36.7736225010939,"Las_Cruces"
"L4A17",27.8904586772573,"Las_Cruces"
"L4F18",42.9029392963088,"Las_Cruces"
"L4A18",26.8926433449504,"Las_Cruces"
