"","Shannon","Site"
"C1A17",3.17126308945396,"Chanaral"
"C1F18",3.866026838947,"Chanaral"
"C1A18",3.62185737324674,"Chanaral"
"C2A17",2.76026091485838,"Chanaral"
"C2F18",4.10423681647708,"Chanaral"
"C2A18",3.8960721529079,"Chanaral"
"C3A17",2.87032330166165,"Chanaral"
"C3F18",3.48240892890832,"Chanaral"
"C3A18",4.79164776273721,"Chanaral"
"C4A17",3.06076623322857,"Chanaral"
"C4F18",3.8683860843622,"Chanaral"
"C4A18",4.5890475390333,"Chanaral"
"F1A17",4.00886795601082,"Flamenco"
"F1F18",2.48947007708313,"Flamenco"
"F1A18",3.84381193526821,"Flamenco"
"F2A17",4.12189002946731,"Flamenco"
"F2F18",3.15119195935674,"Flamenco"
"F2A18",3.12240278621469,"Flamenco"
"F3A17",3.69255811917684,"Flamenco"
"F3F18",4.26283693912086,"Flamenco"
"F3A18",3.73590635174913,"Flamenco"
"F4A17",3.50664484198848,"Flamenco"
"F4F18",4.1674034910916,"Flamenco"
"F4A18",3.78070613182035,"Flamenco"
"H1A17",2.95391139452412,"Huasco"
"H1F18",2.48754708606696,"Huasco"
"H1A18",2.78114592334231,"Huasco"
"H2A17",2.54263459836637,"Huasco"
"H2F18",2.74242244239733,"Huasco"
"H2A18",2.80904423218319,"Huasco"
"H3A17",2.59795522058156,"Huasco"
"H3F18",2.75542330718143,"Huasco"
"H3A18",2.69178588705011,"Huasco"
"H4A17",2.7936952853063,"Huasco"
"H4F18",2.6676007954123,"Huasco"
"H4A18",3.36882132955879,"Huasco"
"P1F18",3.335539971094,"Pta_Choros"
"P1A18",3.7882748931447,"Pta_Choros"
"P2F18",3.63169853172608,"Pta_Choros"
"P3F18",3.3907212262979,"Pta_Choros"
"P4F18",3.41558146519039,"Pta_Choros"
"Q1A17",4.30350471155566,"Quintero"
"Q1F18",2.84276280646072,"Quintero"
"Q2A17",4.25218596471928,"Quintero"
"Q2F18",3.44984666048581,"Quintero"
"Q3A17",4.28895874012259,"Quintero"
"Q3F18",3.64698676597198,"Quintero"
"Q3A18",3.99439993449482,"Quintero"
"Q4A17",4.2914742401752,"Quintero"
"Q4F18",3.7200175932653,"Quintero"
"Q4A18",3.35631861611815,"Quintero"
"L1A17",2.64591114204304,"Las_Cruces"
"L1F18",3.55904786439217,"Las_Cruces"
"L1A18",3.33741787755639,"Las_Cruces"
"L2A17",3.13663089370637,"Las_Cruces"
"L2F18",3.43439970107699,"Las_Cruces"
"L2A18",3.04168093594016,"Las_Cruces"
"L3A17",2.92334026997628,"Las_Cruces"
"L3F18",2.91978227041427,"Las_Cruces"
"L3A18",3.43731944057264,"Las_Cruces"
"L4A17",2.4891278271359,"Las_Cruces"
"L4F18",2.9608663989688,"Las_Cruces"
"L4A18",2.8550023932594,"Las_Cruces"
