"","Unbiased","Site"
"C1A17",0.959996113980849,"Chanaral"
"C1F18",0.985760055417333,"Chanaral"
"C1A18",0.975811893747489,"Chanaral"
"C2A17",0.816406817620345,"Chanaral"
"C2F18",0.98436821819653,"Chanaral"
"C2A18",0.974131965979441,"Chanaral"
"C3A17",0.871438016141221,"Chanaral"
"C3F18",0.977192630659202,"Chanaral"
"C3A18",0.992036684753205,"Chanaral"
"C4A17",0.884693207519409,"Chanaral"
"C4F18",0.985018513542067,"Chanaral"
"C4A18",0.990871315367357,"Chanaral"
"F1A17",0.987861555095841,"Flamenco"
"F1F18",0.950920696181015,"Flamenco"
"F1A18",0.949314284943051,"Flamenco"
"F2A17",0.958688118459763,"Flamenco"
"F2F18",0.97669860900247,"Flamenco"
"F2A18",0.954130342812674,"Flamenco"
"F3A17",0.923573347983383,"Flamenco"
"F3F18",0.995146344131911,"Flamenco"
"F3A18",0.946382844021143,"Flamenco"
"F4A17",0.908257936935835,"Flamenco"
"F4F18",0.994660374790302,"Flamenco"
"F4A18",0.962465313464494,"Flamenco"
"H1A17",0.956598881125406,"Huasco"
"H1F18",0.919446965520121,"Huasco"
"H1A18",0.954110142994328,"Huasco"
"H2A17",0.941625443046583,"Huasco"
"H2F18",0.939194441690033,"Huasco"
"H2A18",0.955302446122416,"Huasco"
"H3A17",0.950196771881141,"Huasco"
"H3F18",0.924266452729661,"Huasco"
"H3A18",0.952387554919685,"Huasco"
"H4A17",0.958762415989771,"Huasco"
"H4F18",0.919765896746111,"Huasco"
"H4A18",0.958833885147563,"Huasco"
"P1F18",0.970965248540518,"Pta_Choros"
"P1A18",0.984997621938293,"Pta_Choros"
"P2F18",0.977020514203392,"Pta_Choros"
"P3F18",0.974026124276572,"Pta_Choros"
"P4F18",0.976983008539005,"Pta_Choros"
"Q1A17",0.95369264703687,"Quintero"
"Q1F18",0.912872434640786,"Quintero"
"Q2A17",0.993399875077052,"Quintero"
"Q2F18",0.87248645399986,"Quintero"
"Q3A17",0.993411813669167,"Quintero"
"Q3F18",0.898155799261979,"Quintero"
"Q3A18",0.98870328513725,"Quintero"
"Q4A17",0.99157002321029,"Quintero"
"Q4F18",0.851400143907016,"Quintero"
"Q4A18",0.970107265705549,"Quintero"
"L1A17",0.955882093192713,"Las_Cruces"
"L1F18",0.974039194160869,"Las_Cruces"
"L1A18",0.976697918102837,"Las_Cruces"
"L2A17",0.980135666889422,"Las_Cruces"
"L2F18",0.98130591083803,"Las_Cruces"
"L2A18",0.971421653101863,"Las_Cruces"
"L3A17",0.975275945388918,"Las_Cruces"
"L3F18",0.970978811684611,"Las_Cruces"
"L3A18",0.972821928826263,"Las_Cruces"
"L4A17",0.964161789220383,"Las_Cruces"
"L4F18",0.976708071840501,"Las_Cruces"
"L4A18",0.962832064578141,"Las_Cruces"
