Net;Type;Connectance;Average_Degree;Diameter;Average_path_length;Cluster_coefficient;Modularity;Number_of_clusters;Nodes;Edges
Chanaral;All;0.011203255;22.44011976;16;4.816926289;0.403238036;0.639554173;59;2004;22485
Flamenco;All;0.011070088;24.25456204;15;4.816113496;0.3896827;0.581328923;57;2192;26583
Huasco;All;0.009900719;22.53403601;14;4.93538264;0.351036077;0.633484099;73;2277;25655
Pta_Choros;All;0.016035429;22.12889211;14;4.998721076;0.396006295;0.45739498;57;1381;15280
Quintero;All;0.013993075;26.51687764;20;5.440722964;0.36315388;0.597870458;56;1896;25138
Las_Cruces;All;0.013005073;28.96229803;22;5.426308551;0.318345635;0.618292389;68;2228;32264
Chanaral;Core;0.104781515;9.744680851;5;2.119356834;0.790399926;0.457361606;24;94;458
Flamenco;Core;0.111843712;10.06593407;5;2.119356834;0.790399926;0.457361606;21;91;458
Huasco;Core;0.102575588;9.642105263;5;2.119356834;0.790399926;0.457361606;25;95;458
Pta_Choros;Core;0.102575588;9.642105263;5;2.119356834;0.790399926;0.457361606;25;95;458
Quintero;Core;0.107059374;9.849462366;5;2.119356834;0.790399926;0.457361606;23;93;458
Las_Cruces;Core;0.109412327;9.956521739;5;2.119356834;0.790399926;0.457361606;22;92;458
Chanaral;Unique;0.056761;24.29370629;6;2.951092521;0.175212681;0.530475515;4;429;5211
Flamenco;Unique;0.074002785;26.41899441;7;3.008606795;0.170381483;0.272468445;3;358;4729
Huasco;Unique;0.071872834;34.4989605;8;3.106973319;0.157730528;0.439340146;3;481;8297
Pta_Choros;Unique;0.028436691;6.739495798;5;2.533453888;0.043722309;0.467246006;3;238;802
Quintero;Unique;0.051688242;29.51398601;9;3.928453333;0.336386151;0.364721397;4;572;8441
Las_Cruces;Unique;0.040178138;35.07551487;8;3.21398109;0.161563629;0.513440966;3;874;15328
Chanaral;Other;0.010915135;13.90588235;16;5.164822798;0.511120814;0.563459691;93;1275;8865
Flamenco;Other;0.009338233;14.34352635;18;5.188429274;0.466228081;0.564580024;71;1537;11023
Huasco;Other;0.005925277;8.85828877;16;5.537745966;0.438312195;0.659483356;95;1496;6626
Pta_Choros;Other;0.009433962;7.990566038;14;5.469201743;0.487008085;0.677621831;65;848;3388
Quintero;Other;0.006893298;7.093203883;17;6.402374216;0.493898683;0.729192503;103;1030;3653
Las_Cruces;Other;0.006263899;6.664788732;21;6.64680537;0.488752163;0.755522313;102;1065;3549
